site,SPAI,DISP,CHNA,ATTO,SAVE,ATCO,OTHER
LW1,,,,,25,,1
LW2,7,,1,2,9,,
LW3,65,1,,2,,,
BC1,2,2,48,25,13,,15
BC2,0,33,11,,,,7
BC3,,14,14,11,,,20
BP1,11,,,39,43,,1
BP2,,,20,23,,,1
BP3,3,,7,,36,1,
BP4,,,1,11,19,,2
TA3,12,,,15,3,,22
TA4,12,4,16,,,,1
TA5,4,,1,,7,7,5
TA6,9,,16,38,,,1
TAC,18,42,,48,,,60
TS1,3,,,134,,,2
TS2,6,,,2,,,35
TS3,22,19,,5,,,
TS4,27,9,7,15,39,1,1
TSC,4,1,3,,6,1,4
IO1,37,,19,7,,,16
IO2,,,,17,,,1
IC1,,,13,32,,,6
IC2,5,1,4,,2,,2
SS1,,,,34,20,,
SS2,,,,8,,,2
SS3,,,,62,,,10
SS4,,,,17,,,
BG2,,,,8,2,,7
BGC,,,29,10,,,
